社名,本社所在地,設立,転職エージェント数,職業紹介許可番号,紹介事業許可年,ホームページ,注力職種,注力エリア
株式会社キャリア,〒163-0240 東京都新宿区西新宿2-6-1　新宿住友ビル40階C,2009年4月28日,登録なし,登録なし,2009年11月,http://www.careergift.co.jp/,建築・土木,関東
キャリアエージェンシー株式会社,〒150-0002 東京都渋谷区渋谷3-12-22　渋谷プレステージビル2階,2009年9月11日,10名,登録なし,2009年,http://www.career-agency.jp,営業 / 管理・事務 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職,関東 / 関西 / 東海
株式会社キャリア経営パートナーズ,〒540-0029 大阪府大阪市中央区本町橋2-23 第7松屋ビル 827号室,2014年11月19日,2名,登録なし,2015年2月,http://career-kp.co.jp,営業,関東 / 関西
キャリアスタート株式会社,〒105-0003 東京都港区西新橋1-15-6 内幸町企画ビル8階,2012年4月,登録なし,登録なし,平成24年9月1日,http://careerstart.co.jp/,営業 / 販売・フード・アミューズメント / ITエンジニア,登録なし
株式会社キャリアデザインセンター,〒107-0052 東京都港区赤坂 3-21-20 赤坂ロングビーチビル9F,1993年7月2日,登録なし,登録なし,平成13年10月1日,http://shoukai.type.jp/,ITエンジニア / 営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム,関東
キャリア・デベロプメント・アソシエイツ株式会社,〒141-0032 東京都品川区大崎3−6−30　大崎紋新301,2005年7月1日,22名,登録なし,2005年,http://www.cdac.jp/,電気・電子・機械・半導体,登録なし
株式会社キャリアバンク,〒810-0001 福岡県福岡市中央区天神二丁目14番2号福岡証券ビル2F,平成10年7月9日,20名,登録なし,平成14年2月1日,http://www.c-bank.co.jp/index.htm,営業,登録なし
キャリアバンク株式会社,〒060-0005 北海道札幌市中央区北五条西5丁目7番地　 sapporo55　5階,昭和62年11月,15名,登録なし,昭和63年2月,http://www.career-bank.co.jp,営業 / 管理・事務 / 建築・土木,登録なし
株式会社キャリアヒューマン,〒980-0014 宮城県仙台市青葉区本町２丁目10-33 第２日本オフィスビル9Ｆ,２００４年１２月1日,1名,登録なし,２００５年３月,http://careerhuman.co.jp/,電気・電子・機械・半導体 / 営業 / 管理・事務 / ITエンジニア / 建築・土木,北海道・東北
株式会社キャリアプラス,〒310-0815 茨城県水戸市本町2丁目12-25,2005年11月25日,4名,登録なし,2007年10月1日,http://www.careerplus.co.jp,ITエンジニア / 営業 / 企画・経営 / 管理・事務 / 美容・ホテル・ブライダル・交通 / 医療・福祉 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / 電気・電子・機械・半導体 / 建築・土木 / 技能工・設備・倉庫・農林水産・他,関東
株式会社キャリアプロダクション,〒222-0033 神奈川県横浜市港北区新横浜2-15-10　YS新横浜ビル3F,2007年,登録なし,登録なし,2008年,http://www.capro.co.jp,営業 / 管理・事務 / クリエイティブ / 電気・電子・機械・半導体,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社キャリッジ,〒530-0001 大阪府大阪市北区梅田2-5-4　千代田ビル西館6Ｆ,2013年4月1日,登録なし,登録なし,2013年,http://carriage-inc.com/,販売・フード・アミューズメント / クリエイティブ,関西
株式会社キャリネット,〒104-0031 東京都中央区京橋3-5-3 竹河岸ビル1階,1998年1月,2名,登録なし,1998年,http://www.careenet.co.jp,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / 建築・土木,関東
九州スタッフ株式会社,〒812-0011 福岡県福岡市博多区博多駅前3丁目2番1号日本生命博多駅前ビル7階,平成10年4月1日,5名,登録なし,平成13年8月1日,http://www.staff-q.co.jp/,管理・事務 / 営業 / 企画・経営 / 美容・ホテル・ブライダル・交通 / 医療・福祉 / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材,九州 / 関東
株式会社求人情報ふくおか,〒810-0001 福岡県福岡市中央区天神３－１５－２４ 三天第一ビル８階,2007年2月5日,4名,登録なし,2012年,http://www.saiyou-fukuoka.jp/,建築・土木 / 営業 / 管理・事務 / クリエイティブ,九州
株式会社極東ブレイン,〒659-0067 兵庫県芦屋市茶屋之町2-21-303,1982年12月,5名,登録なし,2003年4月,http://www.fe-brain.com,登録なし,登録なし
株式会社近鉄コスモス,〒104-0061 東京都中央区銀座3-10-9　KEC銀座ビル 3階,1993年（平成5年）4月,登録なし,登録なし,平成13年1月,https://www.k-cosmos.co.jp/,営業 / 管理・事務,関東 / 関西 / 東海
株式会社キーカンパニー,〒102-0072 東京都千代田区飯田橋1-5-9　精文館ビル7階,2010年7月9日,登録なし,登録なし,2012年3月1日,http://www.keycompany.jp/,医療・福祉 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア,登録なし
キー・ネットワーク株式会社（旧・ヴァンテージマネジメント株式会社）,〒104-0061 東京都中央区銀座1-15-6 KN銀座ビル3階,2012年11月12日,3名,登録なし,2015年1月1日,http://www.keynetwork.co.jp/,管理・事務 / 営業,登録なし
株式会社キーパーソン,〒650-0022 兵庫県神戸市中央区元町通5-4-3 元町アーバンライフ1115,2014年12月1日,3名,登録なし,2015年,http://www.key-person.co.jp/,登録なし,関西 / 東海
株式会社Keep in touch,〒107-0062 東京都港区南青山2-2-15 ウイン青山ビル740,2009年2月24日,登録なし,登録なし,平成21年6月1日,http://www.kitkit.jp/,企画・経営 / 営業 / クリエイティブ / WEB・インターネット・ゲーム,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社ギークリー,〒150-0002 東京都渋谷区渋谷1-17-2 ヒューリック渋谷宮下公園ビル6F,2011年8月22日,15名,登録なし,2011年12月,http://www.geekly.co.jp,WEB・インターネット・ゲーム / 営業 / ITエンジニア,関東
株式会社クイック,〒107-0052 東京都港区赤坂2-11-7,1980 年 9月 19日,登録なし,登録なし,1997年,http://919.jp/,医療・福祉 / 電気・電子・機械・半導体 / 建築・土木,登録なし
クックビズ株式会社,〒530-0012 大阪府大阪市北区芝田2-7-18 オーエックス梅田ビル新館6階,2007年12月,登録なし,登録なし,平成20年03月01,http://cookbiz.jp/,登録なし,登録なし
株式会社クラス,〒541-0051 大阪府大阪市中央区備後町2丁目4-6森田ビル７F,2015年6月,3名,登録なし,2017年,https://kras.co.jp/,管理・事務 / 営業 / 企画・経営 / 保育・教育・通訳,関西
クラレテクノ株式会社,〒530-8611 大阪府大阪市北区角田町８−１　梅田阪急ビルオフィスタワー３９階,１９８１年４月,25名,登録なし,平成１９年６月１日,http://www.secourir.co.jp,医薬・食品・化学・素材,登録なし
株式会社クリアテック,〒101-0024 東京都千代田区神田和泉町1-6-1　インターナショナルビル7階,2009年10月,4名,登録なし,2010年1月,http://cleartec.jp/,電気・電子・機械・半導体 / コンサルタント・金融・不動産専門職 / 建築・土木,関東
株式会社クリエアナブキ,〒760-0026 香川県高松市磨屋町2番地8 あなぶきセントラルビル,1986年4月11日,8名,登録なし,2000年,https://www.ten-shoku.net/,電気・電子・機械・半導体 / 営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / ITエンジニア / 建築・土木 / 医薬・食品・化学・素材,中国・四国 / 関東 / 関西 / 東海
株式会社クリーク・アンド・リバー社,〒102-0083 東京都千代田区麹町2-10-9　C&Rグループビル,1990年3月20日,登録なし,登録なし,1993年,http://www.cri.co.jp/,WEB・インターネット・ゲーム / クリエイティブ / ITエンジニア,関東 / 関西 / 東海
株式会社クロスインフィニティ・マネジメント,〒150-0043 東京都渋谷区道玄坂１-15-3プリメーラ道玄坂11階,2016年,登録なし,登録なし,平成29年3月,http://www.crossinfinity.com/,管理・事務 / 企画・経営,関東
株式会社クロップス・クルー（名古屋鉄道グループ）,〒460-0008 愛知県名古屋市中区栄3-7-9　新鏡栄ビル7F,2000年5月,3名,登録なし,2000年,https://tenshoku-cropscrew.jp/,管理・事務 / 営業 / 美容・ホテル・ブライダル・交通 / 技能工・設備・倉庫・農林水産・他,東海
株式会社グランコネクト,〒231-0006 神奈川県横浜市中区南仲通1-13-201,2016.1.6,登録なし,登録なし,2016,登録なし,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / 建築・土木 / 技能工・設備・倉庫・農林水産・他,関東 / 中国・四国
株式会社グローバルスタッフ,〒160-0007 東京都新宿区荒木町14　第五新菱ビルヂング3F,1998年2月23日,登録なし,登録なし,平成17年4月1日,http://www.globalstaff.co.jp/index.html,建築・土木,登録なし
株式会社グローバル・リサーチ,〒108-0014 東京都港区芝4-10-5,1990年7月18日,登録なし,登録なし,1991年1月1日,http://www.global-research.co.jp/,企画・経営 / 営業 / 管理・事務 / 販売・フード・アミューズメント / 医療・福祉 / コンサルタント・金融・不動産専門職 / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材,関東
株式会社グンゼオフィスサービス,〒541-0055 大阪府大阪市中央区船場中央2-3　船場センタービル6号館2F,1998年,登録なし,登録なし,平成25年2月1日,http://www.gunze.co.jp/office/,クリエイティブ / 医薬・食品・化学・素材,登録なし
株式会社ケアサービスヒューマンキャピタル,〒143-0016 東京都大田区大森北1-2-3　大森御幸ビル5階,2017年4月3日,2名,登録なし,2017年7月,http://www.care.co.jp/company/outline,企画・経営 / 管理・事務 / 医療・福祉,関東
KSKマーケティングコネクト株式会社,〒105-0004 東京都港区新橋4-24-11　中村ビル8階,平成25年9月5日,1名,登録なし,平成29年12月1日,http://www.ksk-mc.com/,コンサルタント・金融・不動産専門職 / 建築・土木 / 技能工・設備・倉庫・農林水産・他,関東
株式会社ケイキャリアパートナーズ,〒650-0038 兵庫県神戸市中央区西町35番地　三井神戸ビル6F,1989年11月10日,5名,登録なし,1998年,http://www.khi.co.jp/corp/kcp/index.html,電気・電子・機械・半導体 / 営業 / 管理・事務 / ITエンジニア / 建築・土木 / 技能工・設備・倉庫・農林水産・他,【国内】 関西 / 北海道・東北 / 北信越 / 関東 / 東海 / 中国・四国 / 九州 【海外】 中国 / その他アジア
株式会社経理サポートスタッフ,〒450-0002 愛知県名古屋市中村区名駅4丁目23番9号　ＭＡＲＵＷＡ名駅ビル4階,2003年5月8日,登録なし,登録なし,2003年,http://www.keiriss.com/,管理・事務 / コンサルタント・金融・不動産専門職,東海
ケイ.イー.シー.株式会社（KEC人材紹介センター）,〒530-0002 大阪府大阪市北区曽根崎新地2-6-12　小学館ビル9F,1974年2月,3名,登録なし,2002年5月,http://www.jinzai.kec.ne.jp/,管理・事務 / 医療・福祉 / ITエンジニア / 医薬・食品・化学・素材,【国内】 関西 / 北海道・東北 / 北信越 / 関東 / 東海 / 中国・四国 / 九州 【海外】 中国 / 韓国 / 香港 / シンガポール / その他アジア / アメリカ・カナダ / ヨーロッパ / その他海外
株式会社KCGキャリア,〒601-8407 京都府京都市南区西九条寺ノ前町6番地,2001年,登録なし,登録なし,2001年,http://www.kcgcareer.com/,営業 / 管理・事務 / ITエンジニア / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,関東 / 関西
ケーズヒューマンキャピタル株式会社,〒150-0042 東京都渋谷区宇田川町2-1　渋谷ホームズ8階,2012年1月16日,登録なし,登録なし,2012年,http://www.kzcompany.jp,コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム,登録なし
株式会社ゲネシス,〒150-0013 東京都渋谷区恵比寿4-11-8グランヌーノ302,2014年7月,1名,登録なし,2016年1月1日,http://genesis-cl.com/,WEB・インターネット・ゲーム / 企画・経営 / 管理・事務 / クリエイティブ / ITエンジニア,関東 / 関西
株式会社ゲン・マネジメント,〒550-0013 大阪府大阪市西区新町1-8-1　行成ビル5F,2004年12月16日,3名,登録なし,2008年5月1日,http://www.genmgt.co.jp/,管理・事務 / 営業 / 企画・経営,【国内】 関西 / 関東 / 東海 【海外】 中国 / 韓国
株式会社コア,〒150-0022 東京都渋谷区恵比寿南１-16-13エクセルT・Yビル4F,2010年12月1日,7名,登録なし,2010年12月,http://www.core-jp.com/,登録なし,登録なし
株式会社コアパーソン研究所,〒102-0073 東京都千代田区九段北1ー1ー7 カーサ九段 506,1995年10月,4名,登録なし,1996年4月1日,http://www.core-person.co.jp/index.html,登録なし,登録なし
コスモプラン,〒541-0046 大阪府大阪市中央区平野町3-1-7　日宝平野町セントラルビル4階,2005年10月1日,2名,登録なし,平成17年10月1日,http://www.cosmoplan.biz/index.html,建築・土木 / 医薬・食品・化学・素材,登録なし
株式会社コネクト・ホープ,〒330-0802 埼玉県さいたま市大宮区宮町2-25　イーストゲート大宮ビルB館7階,2016年8月2日,登録なし,登録なし,2017年3月1日,http://connect-hope.jp/,建築・土木,関東
株式会社コンフィア,〒102-0094 東京都千代田区紀尾井町3-31 クリエイト紀尾井町 1103,2001年4月,3名,登録なし,2005年12月1日,http://www.confiant.co.jp/,企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,登録なし
株式会社CONFECTER,〒150-0013 東京都渋谷区恵比寿2-32-10 ベラカーサ広尾803,2015年3月3日,登録なし,登録なし,2015年7月1日,https://www.confecter.co.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 保育・教育・通訳 / WEB・インターネット・ゲーム,関東
サイエスト株式会社,〒107-0052 東京都港区赤坂2-17-69　赤坂フェニックスビル3F,2013年5月,8名,登録なし,2015年3月,https://cyestc.com/,企画・経営 / 営業 / 管理・事務 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / クリエイティブ / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,関東
株式会社サウスラッチ,〒103-0013 東京都中央区日本橋人形町3-3-5　天翔日本橋人形町ビル8F,2017年,3名,登録なし,2017年,http://www.southlatch.com/,営業 / 企画・経営 / 管理・事務,北信越 / 関東 / 関西 / 東海 / 九州
株式会社サクシード,〒169-0075 東京都新宿区高田馬場一丁目4番15号 三井生命ビル 7F,2005年4月14日,7名,登録なし,2009年,http://www.benkyo.co.jp/,医療・福祉 / 保育・教育・通訳,登録なし
株式会社SACT,〒150-0002 東京都渋谷区渋谷3-18-7　窪島ビル8階,2015年9月,2名,登録なし,2015年12月,https://sactjp.com/,コンサルタント・金融・不動産専門職 / 管理・事務,関東
株式会社サンクスパートナーズ,〒541-0046 大阪府大阪市中央区平野町3-3-10　浅野ビル7階,2012年10月,12名,登録なし,2013年1月1日,http://www.thanks-partners.com,登録なし,登録なし
三信フェニックスホールディングス株式会社,〒108-0014 東京都港区芝5-29-18　ＮＢＣ三田ビル3Ｆ,1951年6月1日,3名,登録なし,2015年,www.sanshin-phoenix.co.jp,医薬・食品・化学・素材 / 営業 / 企画・経営 / 管理・事務 / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 技能工・設備・倉庫・農林水産・他,北海道・東北 / 関東 / 関西 / 東海 / 九州
株式会社サンステップ,〒564-0051 大阪府吹田市豊津町1番18号 エクラート江坂ビル411号室,2017年6月,登録なし,登録なし,2017年,http://sun-step.jp,営業 / 管理・事務,関西
サンライフ・クリエイション株式会社,〒103-0021 東京都中央区日本橋本石町4-6-7 日本橋日銀通りビル２階,昭和61年4月1日,登録なし,登録なし,平成12年8月1日,http://www.slc-mh.co.jp/,管理・事務 / コンサルタント・金融・不動産専門職 / 建築・土木,関東
三和建設コンサルタンツ株式会社,〒170-0005 東京都豊島区南大塚3-10-10 オーク南大塚ビル6階,1962年3月5日,4名,登録なし,2011年,http://www.sanwa-kc.co.jp/index.html,建築・土木,登録なし
株式会社シグナルエージェント,〒542-0086 大阪府大阪市中央区西心斎橋2-2-3 EDGE心斎橋5F,平成27年4月16日,4名,登録なし,2016年6月,http://www.signal-agent.com/,企画・経営 / 営業 / 管理・事務 / 販売・フード・アミューズメント / ITエンジニア,関西 / 関東
株式会社シグマスタッフ,〒141-0021 東京都品川区上大崎2-25-2 新目黒東急ビル6階,1983年2月,2名,登録なし,2003年9月1日,http://www.sigma-staff.co.jp/,管理・事務 / 営業 / 企画・経営 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 医療・福祉 / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
シリコンスタジオ株式会社,〒150-0013 東京都渋谷区恵比寿1-21-3　NRビル1F～4F,2000年1月1日,6名,登録なし,2004年7月,http://www.siliconstudio.co.jp/,WEB・インターネット・ゲーム / 管理・事務,関東 / 関西 / 九州
株式会社シンフォニック・バリューズ,〒150-0002 東京都渋谷区渋谷3丁目1番8号 オーベル渋谷5階,2017年4月13日,1名,登録なし,2017年7月,https://symphonic-values.com/company/,コンサルタント・金融・不動産専門職 / 営業 / 管理・事務 / クリエイティブ / ITエンジニア / 建築・土木,関東
株式会社Symphoneed（旧：株式会社TYMコーポレーション）,〒101-0052 東京都千代田区神田小川町2丁目3-3 神田小川町SKYビル5F,2009年11月1日,13名,登録なし,2009年12月,http://www.symphoneed.co.jp/,営業 / 企画・経営 / クリエイティブ / WEB・インターネット・ゲーム,関東 / 関西 / 九州
株式会社CIN GROUP,〒150-0002 東京都渋谷区渋谷3-12-22 渋谷プレステージ5F,2012年7月,6名,登録なし,2014年,http://www.cin-group.com/,営業 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 保育・教育・通訳 / クリエイティブ / WEB・インターネット・ゲーム,関東 / 関西
株式会社C&Rリーガル・エージェンシー社,〒102-0083 東京都千代田区麹町2-10-9　C&Rグループビル,2007年8月29日,登録なし,登録なし,平成19年11月01,https://legal-agent.jp/,管理・事務,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
株式会社シーエス,〒222-0033 神奈川県横浜市港北区新横浜3-22-5　8F,2008年9月,2名,登録なし,2017年10月,https://q-s.work/,営業 / 企画・経営 / 管理・事務 / 電気・電子・機械・半導体,関東
合同会社CS企画,〒661-0983 兵庫県尼崎市口田中1丁目18-6　中村鶴翔ビルＶ1階,2015年9月,1名,登録なし,平成27年12月01,http://www.cskikaku.com/,営業 / 企画・経営 / 医療・福祉 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材,関西 / 北海道・東北 / 北信越 / 関東 / 東海 / 中国・四国 / 九州
株式会社シースタイル,〒103-0012 東京都中央区日本橋堀留町1－8－12　さくら堀留ビル8階,2004年1月,登録なし,登録なし,2017年10月,http://www.cstyle.co.jp/,コンサルタント・金融・不動産専門職 / 営業 / 管理・事務 / 建築・土木,関東
シーディエスアイ株式会社(CDS),〒150-0011 東京都渋谷区東3-14-20 ニューホライズンエビス,1998年4月28日,登録なし,登録なし,1998年,http://www.cds-consulting.com/j/,建築・土木 / 営業 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,関東
株式会社 ジェイ エイ シー リクルートメント,〒101-0051 東京都千代田区神田神保町1-105　神保町三井ビルディング14階,1988年3月7日,650名,登録なし,1988年,http://www.jac-recruitment.jp/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,関東 / 関西 / 東海 / 中国・四国
ジェイエス株式会社,〒980-0811 宮城県仙台市青葉区一番町2-5-5,2000年6月20日,登録なし,登録なし,2007年,http://www.js-biz.co.jp/,管理・事務 / 医療・福祉 / ITエンジニア / 医薬・食品・化学・素材,登録なし
JXキャリアサポート株式会社,〒100-0005 東京都千代田区丸の内三丁目4番2号（新日石ビルヂング6階）,1988年4月1日,登録なし,登録なし,1998年04月01,http://www.cs.jx-group.co.jp/,登録なし,登録なし
株式会社ジェイック (キャリアチェンジカレッジ),〒101-0051 東京都千代田区神田神保町1-101 神保町101ビル6F,1991年3月,2名,登録なし,2001年,http://www.jaic-g.com/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 建築・土木,関東
ジャスネットコミュニケーションズ株式会社 関西支社,〒102-0083 東京都千代田区麹町　2丁目10番9号 C&Rグループビル1F,1996年8月,4名,登録なし,平成10年5月1日,http://career.jusnet.co.jp/kansai/,管理・事務 / 企画・経営 / コンサルタント・金融・不動産専門職,関西 / 関東 / 九州
ジャパンラーニング株式会社,〒103-0027 東京都中央区日本橋2-2-6 日本橋通り二丁目ビル6Ｆ,1996年6月1日,3名,登録なし,2010年4月1日,http://www.japan-learning.co.jp/,ITエンジニア,【国内】 関東 【海外】 その他アジア
株式会社juice up 〜20代、30代専門エージェント！〜,〒105-0004 東京都港区新橋3-11-8　オーイズミ新橋第２ビル801,2014年7月1日,6名,登録なし,2015年,https://juice-up.co.jp/,営業 / 企画・経営 / 管理・事務 / 医療・福祉 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体,関東 / 関西
JOB転職エージェント（株式会社アルバイトタイムス）,〒101-0043 東京都千代田区神田富山町5-1 神田ビジネスキューブ 7F・8F（総合受付8F）,1973年10月29日,15名,登録なし,平成21年06月,登録なし,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 技能工・設備・倉庫・農林水産・他,関東
株式会社ジョブ・ライフサポート,〒540-0026 大阪府大阪市中央区内本町2-1-19 内本町松屋ビル10-1002,平成22年1月,2名,登録なし,2014年7月1日,http://www.jl-support.com/defaultTop.asp,管理・事務 / 建築・土木,登録なし
株式会社ジョブワールド,〒542-0066 大阪府大阪市中央区瓦屋町3-7-3　イースマイルビル4階,2017年5月1日,4名,登録なし,2017年7月,http://www.job-world.jp/,登録なし,登録なし
人材アシスト株式会社,〒541-0041 大阪府大阪市中央区北浜2-1-21　北浜ゲイトビル 6F,2004年3月25日,3名,登録なし,平成16年6月1日,http://www.sr-jinzai.co.jp/,営業 / 企画・経営 / 管理・事務 / 美容・ホテル・ブライダル・交通 / 建築・土木 / 医薬・食品・化学・素材,関西
株式会社人材情報センター,〒920-0024 石川県金沢市西念1-1-3,1985年9月,15名,登録なし,2000年,http://www.jjc-net.co.jp/company/index.html,電気・電子・機械・半導体,北信越
株式会社人材テラス,〒541-0054 大阪府大阪市中央区南本町2-2-5　イケマンビル8階,2017年,9名,登録なし,2017年,https://jinzai-terrace.com/,コンサルタント・金融・不動産専門職 / 営業,関西
株式会社ジンザイリンク,〒577-0054 大阪府東大阪市高井田元町2-8-1　永和ビル2F,2015年６月,登録なし,登録なし,2015年,https://jinzai-link.co.jp/,営業 / 管理・事務 / 美容・ホテル・ブライダル・交通 / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社ジンジブ（人と未来グループ）,〒105-0012 東京都港区芝大門2-3-1 常泉ビル4F  tel：03-5777-2679 fax：03-5777-2689,2014年2月,登録なし,登録なし,2014年6月,登録なし,保育・教育・通訳 / 営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 医療・福祉 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム,関東 / 関西 / 九州
株式会社スイッチカンパニー,〒790-0065 愛媛県松山市宮西1丁目8-12　宮西ビル2階,2013年11月22日,3名,登録なし,平成26年7月1日,http://www.switch-net.co.jp/,営業 / ITエンジニア / 電気・電子・機械・半導体,中国・四国
株式会社Skill Matching フードパートナーズ事業部,〒541-0056 大阪府大阪市中央区久太郎町4-2-12 本町TDビル8階,2017年3月,2名,登録なし,平成29年6月1日,http://foodpartners.jp/lp/,販売・フード・アミューズメント,関西
star arts株式会社,〒102-0083 東京都千代田区麹町4-8-1 クリスタルシティ西館 THE MOCK-UP TOKYO 213,2012年4月,5名,登録なし,平成29年4月1日,http://stararts.co.jp/,営業 / 企画・経営 / 管理・事務 / 美容・ホテル・ブライダル・交通 / 医療・福祉 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社スターリーグ,〒150-0032 東京都渋谷区鶯谷町15－9　カザマビル401,2016年3月,登録なし,登録なし,2016年8月,https://star.careers/company/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム,関東 / 関西 / 九州
株式会社SPACIVAL,〒101-0032 東京都千代田区岩本町3-3-3 秋葉原サザンビル6階,2017年10月5日,3名,登録なし,2018年2月1日,http://spacival.com/index.html,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 医療・福祉 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体,関東
Spring転職エージェント（アデコ株式会社）,〒107-0062 東京都港区南青山1-15-9,1985年7月29日,登録なし,登録なし,2000年11月,http://www.springjapan.com/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,関東 / 関西 / 東海
Spotted Recruit（株式会社SPOTTED）,〒103-0026 東京都中央区日本橋兜町5-1　兜町第一平和ビル3階,2017年4月,登録なし,登録なし,2017年8月,http://spottedrecruit.com/,営業 / 管理・事務 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,関東
株式会社スポーツフィールド,〒162-0845 東京都新宿区市谷本村町3-29　FORECAST市ヶ谷4F,2009年,23名,登録なし,2009年,http://www.sports-f.co.jp/,営業 / 企画・経営 / 保育・教育・通訳 / クリエイティブ / 建築・土木,北海道・東北 / 関東 / 関西 / 東海 / 九州
株式会社3Backs,〒151-0051 東京都渋谷区千駄ヶ谷2-9-6 バルビゾン3番館 B1,2009年11月26日,3名,登録なし,平成29年8月1日,http://www.3backs.com/,営業 / 企画・経営 / 管理・事務 / ITエンジニア,登録なし
株式会社スリールアーク,〒141-0032 東京都品川区大崎5-1-5 高徳ビル4階,2016年7月1日,登録なし,登録なし,2017年7月1日,http://www.sourirearc.jp/,販売・フード・アミューズメント,関東
株式会社セゾンパーソナルプラス,〒170-0013 東京都豊島区東池袋1-33-8 NBF池袋タワー6階,2002年11月1日,登録なし,登録なし,2005年8月1日,http://www.saison-psp.co.jp/,営業 / 管理・事務,関東
戦力エージェント株式会社,〒160-0022 東京都新宿区新宿1-4-11　御苑一丁目ビル 8F,平成9年10月,5名,登録なし,平成14年4月,http://www.senage.co.jp/,営業 / 企画・経営 / 管理・事務,登録なし
株式会社セールスキャリアエージェント,〒104-0045 東京都中央区築地2-12-6 SK東銀座ビル5階,2014年7月22日,10名,登録なし,2014年,http://www.sales-career-agent.co.jp/,営業,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社ZENITH,〒466-0064 愛知県名古屋市昭和区鶴舞3丁目12-2,2017年1月27日,2名,登録なし,2017年5月1日,https://www.zenith-agent.co.jp,営業,東海
